id,label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio,number_of_token_creation_of_creator
0x1816327b28e73c67604532a81158fd356302b775,False,19.066755712999797,8.028107668631494,0.038894575230296824,0.9447287615148413,0.016376663254861822,0.3239432867383214,0.3313096833814824,0.3994888146994913,266.4328232527077,196.68863788147158,1.3511450381679388,14.28571429,29.66691192,0.0,0.868457761,0.0,0.001757471,1
0xb4c36b752b706836ab90ed4e78b058150ae9ed59,False,1.5028986959802595,0.0,0.04838709677419355,0.9516129032258065,0.0,0.19634934361550094,0.18352042518511388,0.0,8.015459711894717,21.54154797571705,0.36363636363636365,14.28571429,31.40375183,0.0,0.911372142,0.005365425,1.53e-06,1
0x730ddf3b350992995fbff682610ac478209912ee,False,5.505912847874826,1.0010750632499683,0.02729528535980149,0.967741935483871,0.004962779156327543,0.22881983625544947,0.3938734152884585,0.6901645564796082,117.12578240024631,78.08385493349753,1.4904458598726114,14.28571429,31.43713605,0.0,0.909499795,0.434065634,0.003105857,1
0xda04793f875ea2b53fc0dce0bcf1580c6ef2542e,False,2.531986847734985,0.5063973695469971,0.04,0.952,0.008,0.3818655547997605,0.5053984689212732,0.9647543166547643,47.60135273741773,12.659934238674927,3.6153846153846154,14.28571429,31.80782289,0.0,0.92149704,0.0,-1.85e-16,1
0x81b6c265450273affbbdf35ff38ffc057f414a08,False,14.265599153318476,4.341704090140406,0.02233009708737864,0.970873786407767,0.006796116504854369,0.20918117963494562,0.03928155743570771,0.4167042487057826,411.84164512188994,208.4017963267395,1.970326409495549,14.28571429,31.83206911,0.0,0.921680408,0.0,2e-17,1
0x4c877141147fdf2d3b963a6c897a4af7c113e25f,False,1.0006378073325506,0.0,0.0022148394241417496,0.9977851605758582,0.0,0.0009519410491880357,0.17164738779098354,0.0,175.61193518686264,275.1753970164514,0.6370235934664247,14.28571429,33.52387478,0.0,0.96380806,0.0,0.112656265,1
0xd01a189b95d2b07600de7003d6122e843e27447b,False,14.826748103579908,2.6476335899249834,0.027105517909002903,0.968054211035818,0.00484027105517909,0.469193377897542,0.2198112224389227,0.3658179368458664,343.6628399722629,185.86387801273386,1.84375,14.28571429,34.38854981,0.0,0.985159482,0.4,0.023791589,1
0x1a72f5f060c821efdc24a5bb20ce59a3b1caaf77,True,12.03835633707265,7.523972710670407,0.025613660618996798,0.9583778014941302,0.016008537886873,0.26412522922192677,0.35140927803829297,0.4956951206930406,239.2623321993189,211.17283407948273,1.1303317535545023,14.28571429,34.74752262,0.993989163,2.03e-13,0.0,1.31e-05,1
0x3e406eca97c1252d13455850055e2b008740e30d,False,0.528118742888778,0.0,0.000999000999000999,0.999000999000999,0.0,0.0,0.8922051750842436,0.0,400.31400710969376,127.8047357790843,3.119341563786008,14.28571429,34.89932994,0.0,0.997711873,1.040816327,-7.35e-17,1
0x700fa01ac5b01d6d92384062906f463292e682c9,True,7.075308221331504,5.306481165998628,0.03587443946188341,0.9372197309417041,0.026905829596412557,0.5785838088129246,0.35064458585833025,0.5198183267335501,153.00354028629377,31.838886995991768,4.675675675675675,14.28571429,34.99271061,1.0,1.69e-12,0.0,0.729396412,1
0x07c498e795b74b553e24e50a1e69f2275fdc5ae3,False,13.517388439493926,7.5096602441632925,0.07714285714285714,0.88,0.04285714285714286,0.22110621904237754,0.20199123406117592,0.3379760097075147,74.59595842535536,79.6023985881309,0.93125,14.28571429,17.41195564,0.0,0.0,0.467457537,0.0,1
0x8a1b26c85cf69aac3c4210d9329d9f7c956072dc,False,3.5431024742966892,0.0,0.03431372549019608,0.9656862745098039,0.0,0.4369997542726895,0.1475821279985087,0.0,56.68963958874703,43.023387187888375,1.302325581395349,14.28571429,29.23367699,0.0,0.003273062,0.0,0.0,2
0x367e2d443988e4b222fbfdafdb35eeb7dda9fbb7,False,2.144612405987043,0.0,0.2222222222222222,0.7777777777777778,0.0,0.2440523970063222,0.33259179414260487,0.0,3.2169186089805644,4.289224811974086,0.6666666666666666,14.28571429,30.47562661,0.0,0.041286003,0.048027099,0.0,1
0x78b0c16b8d85ac6fde7e9c3faa9ad832406f6928,False,0.5026140417797922,0.0,0.0016722408026755853,0.9983277591973244,0.0,0.0,0.20367446437731096,0.0,150.28159849215788,149.7789844503781,1.0,14.28571429,30.68960276,0.0,0.892368212,0.136,0.0,1
0x2a25d4e27204a8754a24af380f01c0de6e2a3ed3,False,4.182272537499471,0.0,0.039603960396039604,0.9603960396039604,0.0,0.009726798325614083,0.07647400843713717,0.0,55.41511112186799,46.004997912494176,1.1910112359550562,14.28571429,31.39333609,0.0,0.910956505,0.0,0.0,1
0x853f9277ea83521db2721ee815aeabdc3a51ba25,False,2.1544158311091874,0.0,0.4444444444444444,0.5555555555555556,0.0,0.1569301856966665,0.36864677486908976,0.0,1.6158118733318907,1.0772079155545937,1.0,16.66666667,5.724543009,0.187250195,-2.38e-17,0.0,0.401768116,1
